channel_num,center_freq_mhz,timestamp,avg_power_db,peak_power_db,std_dev_db,signal_presence_ratio,mean_amplitude,max_amplitude,crest_factor,noise_floor_db,num_detected_peaks,in_channel_power_db,spectral_flatness,ap_channel,sample_id
1,2412.000000001859,2025-04-21T19:23:32.842913,-92.9516,-68.65947,8.977875,0.7659574468085106,0.3179136087758172,0.6190534830093384,1.5691350535785529,-99.98842,5,-92.853874,0.12611806392669678,0,1
1,2412.000000001859,2025-04-21T19:23:33.529870,-93.26342,-62.760475,8.855274,0.20454545454545456,0.16731250177730214,1.1886907815933228,3.0752880311478203,-99.961914,6,-92.263885,0.12061002105474472,0,2
1,2412.000000001859,2025-04-21T19:23:34.217451,-99.92583,-82.892525,0.32554895,0.0,0.005239146731523459,0.05612438917160034,5.927396843414979,-99.99158,0,-99.920265,0.9965298771858215,0,3
2,2417.000000001862,2025-04-21T19:23:34.413415,-99.86441,-79.33684,0.5044612,0.0,0.007748588105266573,0.052307870239019394,4.06329412232244,-99.990425,0,-99.839836,0.9908674359321594,0,1
2,2417.000000001862,2025-04-21T19:23:35.095733,-99.898926,-80.84361,0.3830842,0.0,0.007219435435610609,0.046450093388557434,4.368773466688087,-99.991394,0,-99.830345,0.9946253895759583,0,2
2,2417.000000001862,2025-04-21T19:23:35.791885,-88.88154,-62.19924,10.189614,0.7659574468085106,0.636149442300331,1.3101885318756104,1.6996594725693999,-99.27434,7,-83.145546,0.0861213281750679,0,3
3,2422.0000000018617,2025-04-21T19:23:35.987054,-85.40137,-60.326294,8.199615,0.3829787234042553,0.44328193905257063,1.4108939170837402,1.912919921188077,-96.535614,9,-78.88354,0.2115909308195114,0,1
3,2422.0000000018617,2025-04-21T19:23:36.679887,-86.36389,-60.88503,8.637088,1.0,0.6082919493584917,1.4132208824157715,1.9720460553761958,-97.187805,9,-79.40934,0.17785052955150604,0,2
3,2422.0000000018617,2025-04-21T19:23:37.362106,-92.90529,-63.27433,9.014952,0.23404255319148937,0.19065418867056302,1.2068860530853271,2.9239285692117267,-99.9236,5,-86.054565,0.11694114655256271,0,3
4,2427.00000000186,2025-04-21T19:23:37.543519,-99.87501,-80.29838,0.5283933,0.0,0.008315888990896365,0.048931095749139786,3.8558956387956034,-99.98608,0,-99.7826,0.9882743954658508,0,1
4,2427.00000000186,2025-04-21T19:23:38.209934,-94.87627,-67.591446,6.915572,0.23404255319148937,0.10609825005569108,0.6005550026893616,2.6979190440864893,-99.98532,5,-90.72079,0.24232834577560425,0,2
4,2427.00000000186,2025-04-21T19:23:38.878971,-99.892334,-80.30313,0.39903364,0.0,0.007912102628858277,0.048269279301166534,4.286319251043651,-99.98697,0,-99.82987,0.9936689138412476,0,3
5,2432.000000001859,2025-04-21T19:23:39.060190,-94.93917,-68.678505,6.8094172,0.23404255319148937,0.10419641910715306,0.5902364253997803,2.7199445208140007,-99.958244,5,-94.66671,0.2501397430896759,0,1
5,2432.000000001859,2025-04-21T19:23:39.753064,-99.92644,-79.995766,0.2775135,0.0,0.0060215033836348835,0.048992425203323364,5.732405992754034,-99.985085,0,-99.88182,0.9971847534179688,0,2
5,2432.000000001859,2025-04-21T19:23:40.438385,-84.47035,-61.703697,9.516906,0.7954545454545454,0.7961725135219289,1.4131993055343628,1.5146782347174297,-97.29363,8,-84.15726,0.16260789334774017,0,3
6,2437.000000001862,2025-04-21T19:23:40.620598,-99.69045,-71.42483,1.3372269,0.0,0.014410629399776657,0.1024618148803711,3.506104006065755,-99.98496,1,-99.95034,0.8896382451057434,0,1
6,2437.000000001862,2025-04-21T19:23:41.289529,-95.44255,-72.940216,6.3663874,0.6595744680851063,0.15119433848620156,0.38214001059532166,1.961277604786217,-99.98496,3,-95.10965,0.2711074948310852,0,2
6,2437.000000001862,2025-04-21T19:23:41.973425,-99.86361,-72.36781,0.60210264,0.0,0.008128091315747158,0.09999770671129227,7.16090779491164,-99.98737,0,-99.95273,0.9803264737129211,0,3
7,2442.0000000018617,2025-04-21T19:23:42.166081,-88.23079,-60.772247,8.863243,1.0,0.7219435907284215,1.413220763206482,1.7939680421750386,-97.54365,6,-92.26281,0.09515415132045746,0,1
7,2442.0000000018617,2025-04-21T19:23:42.853324,-96.39046,-69.52443,6.752293,0.723404255319149,0.19787060634563702,0.44689732789993286,1.9429756386095884,-99.9709,3,-99.86008,0.16049204766750336,0,2
